o,d,f
001A,098A,108
001B,253B,116
001B,255B,156
001V,002V,156
001V,093V,162
002A,023A,180
002A,058A,378
002B,074B,269
002V,049V,236
003A,021A,177
003A,03MU,100
003A,092A,191
003M,004M,110
003M,060M,139
003V,142V,190
004A,005A,168
004A,031A,140
004A,093A,132
004V,006V,123
005A,004A,168
005A,036A,132
005M,007M,110
005V,004V,114
005V,006V,178
006S,037S,179
006S,039S,113
006V,004V,172
006V,005V,113
007B,142B,156
007M,005M,116
007S,049S,231
007V,107V,226
008A,007A,154
008A,046A,110
008A,054A,127
008A,084A,123
008B,007B,106
008M,055M,132
008S,049S,155
008V,009V,141
009B,098B,111
009V,008V,124
010A,026A,219
010A,064A,123
010B,305B,100
010B,306B,103
010S,049S,498
011B,012B,205
011B,081B,156
012A,067A,151
012B,011B,372
012B,126B,145
013A,012A,103
013B,085B,105
013B,095B,126
013B,143B,111
013S,45CZ,133
013V,014V,108
013V,147V,172
014A,015A,221
014A,043A,172
014B,123B,128
014S,028S,145
015A,014A,381
015S,016S,1086
015S,116S,440
015V,101V,102
015V,149V,566
016B,089B,353
016B,097B,103
016M,66TO,191
016S,015S,361
016S,062S,126
016S,116S,463
016S,44CZ,151
016V,029V,147
016V,111V,309
016V,135V,110
017B,110B,138
017M,56TO,261
017S,066S,402
017S,25CZ,112
017V,059V,135
017V,065V,196
017V,082V,114
017V,126V,151
018A,028A,118
018V,048V,100
018V,065V,237
018V,082V,134
019B,061B,100
019B,132B,120
019S,071S,104
019V,147V,190
01AB,23AB,183
01AB,24AB,166
01AB,29AB,114
01AL,24AL,134
01AV,02AV,461
01AV,03AV,215
01BA,01CC,157
01BU,26BU,259
01CA,51CA,166
01CA,52CA,257
01CA,53CA,161
01CC,01BA,124
01CE,03CE,261
01CE,04CE,333
01CE,05CE,129
01CO,54CO,188
01CR,39CR,127
01CR,40CR,420
01CR,42CR,164
01CZ,20CZ,164
01GI,05GI,104
01GR,58GR,155
01HU,33HU,359
01HU,34HU,102
01JA,02JA,630
01JA,55JA,264
01LE,50LE,139
01LL,51LL,205
01LU,34LU,266
01ME,02ME,113
01ME,04ME,145
01ME,06ME,122
01OU,04OU,124
01PA,03PA,264
01PO,22PO,111
01SA,31SA,215
01TA,03TA,100
01TF,47TF,148
01TF,48TF,130
01TF,51TF,125
01ZM,03ZM,153
01ZM,09ZM,136
01ZM,22ZM,172
020A,028A,136
020A,043A,119
020B,146B,143
020M,069M,133
020S,054S,167
020V,022V,153
020V,023V,113
020V,105V,101
021A,003A,111
021A,031A,112
021A,090A,109
021A,092A,156
021B,146B,194
021B,39TA,136
021S,023S,106
021S,024S,429
021V,16CS,118
022A,024A,517
022A,029A,137
022A,049A,433
022A,074A,135
022B,024B,101
022V,020V,101
022V,105V,213
023A,002A,156
023A,058A,107
023B,126B,101
023M,16GU,124
023S,021S,172
023S,024S,1083
024A,022A,462
024A,029A,118
024A,049A,252
024A,056A,120
024B,023B,111
024B,146B,162
024S,021S,365
024S,023S,661
024S,039S,117
024S,044S,219
024S,047S,365
024S,048S,494
024S,058S,236
024S,084S,187
024S,085S,187
024S,105S,184
025A,045A,104
025A,048A,398
025B,277B,108
025B,278B,372
025S,069S,486
025V,047V,127
026A,010A,241
026B,027B,226
026B,39GI,291
026M,042M,159
027B,026B,292
027B,079B,278
027B,099B,219
027B,39GI,239
028A,020A,154
028A,029A,191
028M,025M,637
028M,044M,125
028M,135M,263
028S,014S,125
028S,064S,350
029A,024A,148
029A,028A,118
029M,047M,136
029M,098M,458
029V,016V,156
029V,068V,231
029V,101V,213
02AB,01AB,189
02AL,18AL,119
02AL,45AL,320
02AV,01AV,469
02AV,03AV,338
02AV,07AV,166
02AV,22AV,170
02BA,03BA,268
02BA,04BA,113
02BA,57BA,280
02BA,58BA,227
02BA,61BA,347
02CA,38CA,272
02CO,26CO,116
02CO,28CO,109
02CO,32CO,157
02CO,34CO,236
02CO,36CO,135
02CO,37CO,202
02CO,38CO,160
02CO,52CO,231
02CS,41TA,165
02GC,33GC,820
02GI,58GI,162
02GP,21GP,133
02GP,22GP,110
02HS,28HS,127
02JA,01JA,506
02JA,55JA,219
02JA,58JA,110
02LE,29LE,107
02LO,19LO,115
02MA,23MA,117
02ME,04ME,163
02ME,06ME,216
02MU,10MU,182
02PA,22PA,103
02SA,07SA,110
02SA,27SA,143
02SA,31SA,128
02SA,34SA,224
02SO,10SO,300
02TA,01TA,122
02TF,13TF,380
02TF,14TF,181
02TF,18TF,140
02TF,29TF,102
02VI,24BU,259
02ZA,01ZA,184
02ZM,03ZM,592
02ZM,05ZM,139
02ZM,21ZM,286
02ZM,22ZM,249
030B,090B,127
030M,056M,345
030M,124M,128
030V,103V,255
031A,004A,112
031A,005A,112
031A,021A,249
031A,023A,202
031B,090B,157
031S,050S,131
031S,068S,289
032A,047A,127
032A,060A,321
032A,107A,157
032A,108A,174
032M,057M,106
032S,041S,217
032S,050S,282
032S,054S,289
032S,114S,188
032V,076V,120
033A,051A,239
033B,034B,126
033B,144B,203
033M,081M,169
034A,038A,103
034B,033B,162
034B,144B,165
035A,012A,155
035A,013A,165
035B,080B,148
035B,105B,136
036A,005A,141
036A,083A,421
036B,037B,134
036M,140M,202
036M,53TO,209
036S,020S,225
036S,041S,250
036S,094S,250
036S,114S,225
036V,035V,106
037A,093V,157
037B,036B,107
037B,140B,316
037S,006S,114
037V,151V,250
038B,144B,262
038M,095M,145
038S,120S,121
039A,063A,131
039A,076A,183
039M,045M,109
039S,006S,102
039S,024S,159
039S,058S,114
039S,060S,131
039S,069S,196
039S,121S,324
03AL,18AL,218
03AV,01AV,243
03AV,02AV,351
03AV,22AV,433
03BA,02BA,321
03BI,73BI,159
03BU,26BU,171
03CA,46CA,127
03CE,01CE,448
03CE,04CE,310
03CE,05CE,141
03CO,02CO,285
03GC,15GC,255
03GP,40GP,399
03GU,17GU,159
03GU,18GU,172
03GU,22GU,122
03GU,24GU,320
03JA,43JA,156
03LE,53LE,145
03LO,23LO,270
03LO,24LO,159
03LO,25LO,137
03LU,04LU,128
03LU,35LU,110
03MA,53MA,105
03ME,06ME,639
03MU,19MU,111
03OU,04OU,123
03OU,05OU,104
03PA,01PA,225
03SA,05SA,181
03SA,34SA,127
03TF,19TF,531
03TF,57TF,230
03TF,58TF,120
03VI,17VI,120
03ZA,44ZA,122
03ZM,02ZM,266
040A,043A,109
040A,052A,101
040M,082M,326
